iter	Passed	Remaining
843	28061	71683
844	28084	71623
845	28116	71586
846	28152	71561
847	28191	71542
848	28227	71517
849	28252	71463
850	28272	71396
851	28307	71367
852	28340	71331
853	28379	71314
854	28415	71287
855	28456	71273
856	28492	71247
857	28519	71198
858	28545	71147
859	28581	71121
860	28612	71082
861	28644	71046
862	28668	70990
863	28700	70954
864	28715	70874
865	28757	70865
866	28779	70804
867	28812	70769
868	28848	70742
869	28879	70703
870	28908	70661
871	28928	70595
872	28961	70562
873	28974	70480
874	29006	70443
875	29043	70419
876	29069	70368
877	29090	70307
878	29125	70278
879	29140	70203
880	29168	70157
881	29198	70116
882	29236	70094
883	29268	70058
884	29302	70027
885	29328	69978
886	29357	69935
887	29392	69906
888	29417	69854
889	29449	69818
890	29482	69784
891	29515	69752
892	29543	69705
893	29580	69684
894	29617	69658
895	29650	69625
896	29667	69555
897	29702	69526
898	29715	69445
899	29742	69399
900	29773	69360
901	29806	69329
902	29844	69307
903	29882	69285
904	29921	69265
905	29959	69245
906	29995	69218
907	30031	69191
908	30059	69146
909	30089	69106
910	30115	69057
911	30154	69037
912	30186	69001
913	30218	68967
914	30257	68946
915	30280	68891
916	30313	68857
917	30342	68815
918	30377	68786
919	30411	68755
920	30447	68729
921	30480	68696
922	30516	68670
923	30551	68640
924	30585	68611
925	30609	68558
926	30642	68524
927	30682	68507
928	30713	68468
929	30749	68442
930	30787	68419
931	30815	68375
932	30845	68335
933	30878	68302
934	30913	68273
935	30945	68238
936	30974	68197
937	31010	68169
938	31045	68141
939	31082	68117
940	31115	68084
941	31151	68056
942	31184	68024
943	31219	67994
944	31255	67969
945	31294	67947
946	31323	67905
947	31361	67883
948	31386	67833
949	31424	67810
950	31455	67773
951	31490	67743
952	31522	67709
953	31559	67683
954	31591	67649
955	31628	67624
956	31665	67599
957	31691	67551
958	31721	67511
959	31757	67484
960	31787	67445
961	31820	67412
962	31842	67355
963	31874	67320
964	31905	67283
965	31942	67256
966	31972	67218
967	32011	67197
968	32049	67174
969	32089	67156
970	32117	67112
971	32157	67094
972	32190	67061
973	32227	67036
974	32258	66998
975	32297	66976
976	32328	66939
977	32358	66901
978	32389	66863
979	32422	66830
980	32451	66788
981	32475	66737
982	32503	66692
983	32540	66668
984	32573	66635
985	32607	66603
986	32634	66558
987	32671	66534
988	32707	66505
989	32731	66454
990	32765	66423
991	32796	66387
992	32827	66349
993	32867	66330
994	32892	66281
995	32924	66245
996	32963	66224
997	32997	66194
998	33030	66159
999	33060	66120
1000	33097	66094
1001	33126	66054
1002	33163	66029
1003	33197	65997
1004	33235	65975
1005	33268	65941
1006	33303	65912
1007	33338	65882
1008	33377	65862
1009	33415	65838
1010	33450	65809
1011	33486	65782
1012	33522	65754
1013	33554	65720
1014	33590	65691
1015	33610	65633
1016	33644	65601
1017	33676	65567
1018	33714	65543
1019	33753	65521
1020	33788	65491
1021	33820	65456
1022	33859	65434
1023	33899	65415
1024	33925	65368
1025	33955	65329
1026	33991	65302
1027	34028	65277
1028	34061	65242
1029	34088	65198
1030	34119	65162
1031	34157	65137
1032	34197	65118
1033	34226	65076
1034	34257	65039
1035	34289	65005
1036	34326	64978
1037	34357	64942
1038	34386	64900
1039	34417	64864
1040	34448	64826
1041	34479	64789
1042	34508	64748
1043	34539	64711
1044	34573	64681
1045	34603	64641
1046	34642	64619
1047	34673	64583
1048	34710	64556
1049	34741	64520
1050	34771	64480
1051	34805	64449
1052	34842	64423
1053	34880	64399
1054	34919	64378
1055	34953	64346
1056	34983	64306
1057	35020	64281
1058	35050	64243
1059	35082	64206
1060	35110	64165
1061	35138	64122
1062	35167	64082
1063	35194	64037
1064	35231	64011
1065	35272	63993
1066	35308	63965
1067	35342	63933
1068	35380	63909
1069	35416	63881
1070	35450	63850
1071	35482	63815
1072	35517	63785
1073	35546	63746
1074	35579	63711
1075	35610	63675
1076	35647	63649
1077	35676	63608
1078	35711	63579
1079	35752	63559
1080	35780	63517
1081	35812	63482
1082	35850	63458
1083	35879	63418
1084	35915	63389
1085	35951	63361
1086	35983	63327
1087	36012	63286
1088	36045	63253
1089	36078	63219
1090	36115	63194
1091	36135	63138
1092	36169	63105
1093	36204	63075
1094	36238	63044
1095	36269	63008
1096	36305	62980
1097	36328	62930
1098	36367	62907
1099	36393	62860
